제목,원제,개봉일,스트리밍,대여,평점,장르,재생 시간,감독,출연진,시놉시스,이미지,구매
오텁시,Autopsy,(2008),"[('wavve', ['정액제', 'HD'])]","[('wavve', ['₩1,200', 'HD'])]","['56%', '5.0 (6k)']","['스릴러 , 공포']",['1시간 24분'],['Adam Gierasch'],"['Robert Patrick', 'Jessica Lowndes', 'Jenette Goldstein', 'Michael Bowen', 'Robert LaSardo', 'Ross Kohn', 'Ashley Schneider', 'Ross McCall', 'Arcadiy Golubovich', 'Gregg Brazzel', 'Elijah Hardy', 'Tatyana Kanavka', 'Janine Venable']","바비, 에밀리, 클레어, 주드는 축제 때 만난 러시아 유학생 드미트리와 함께 흥겨운 밤을 즐긴다. 차를 몰고 같이 놀러가던 중 갑자기 교통 사고를 당한 일행은 난데 없이 피를 흘리며 등장한 병원 환자에 당황스러워한다. 그때 마침 응급차가 나타나 병원에서 탈출한 환자를 후송하고, 교통사고로 다친 에밀리 일행을 보면서 병원에 가서 검사를 맡으라고 제안하는데... 차가 엉망으로 고장나고, 크고 작은 부상을 입은 에밀리 일행은 병원에 따라간다. 하지만 어느 새 친구들은 수수께끼 같은 병원 속에서 하나 둘씩 사라진다.",https://images.justwatch.com/poster/234525552/s276/oteobsi.webp,
The Secret 시크릿,The Secret,(2006),"[('Netflix', ['정액제'])]",,['71%'],"['다큐멘터리 , Made in Europe']",['1시간 30분'],['Drew Heriot'],"['Bob Proctor', 'Joe Vitale', 'John Assaraf', 'Loral Langemeier', 'Marie Diamond', 'Michael Bernard Beckwith', 'Neale Donald Walsch', 'Jack Canfield']","론다 번이 2006년 제작한 영화이며, 책이다. 여기서 비밀이란 끌어당김의 법칙을 말한다. 즉, 비밀은 성공학에 관한 책이자 영화인 것이다. 비밀은 전 세계적으로 큰 인기를 얻고 있으며, 세계 최대 도서사이트들의 베스트셀러 기록을 깨기도 했다. 영화 비밀은 2006년 개봉되었고, 개봉되자 마자 큰 흥행을 불러 일으켰다. 영화 비밀에서는 제작자 론다 번이 직접 찾아낸 끌어당김의 법칙을 알고 있었던 사람들이 번갈아가며 나와서 끌어당김의 법칙에 대해 이야기하는 식으로 진행이 된다. 비밀에 출연한 사람들 중에는 밥 프록터,잭 캔필드,모리스 굿멘과 같은 유명인들이 많이 있다. 그들의 대화와, 사이사이 영상들을 첨가해서, 약 90분의 영화가 완성되었다. 영화 비밀은 DVD로 제작된 후로도 많은 소득을 올렸고, 지금까지도 큰 인기를 얻고 있다.",https://images.justwatch.com/poster/10140168/s276/the-secret.webp,
트리플 X 2: 넥스트 레벨,xXx: State of the Union,(2005),,"[('wavve', ['₩1,300', 'HD']), ('Naver Store', ['₩1,300', 'HD'])]","['55%', '4.5 (69k)']","['범죄 , 스릴러 , 액션 , SF']",['1시간 41분'],['Lee Tamahori'],"['Ice Cube', 'Samuel L. Jackson', 'Willem Dafoe', 'Scott Speedman', 'Peter Strauss', 'Xzibit', 'Michael Roof', 'Sunny Mabrey', 'Nona Gaye', 'John G. Connolly', 'Ramon De Ocampo', 'Barry Sigismondi', 'J. Anthony Brown', 'Bruce Bruce', 'David Rountree', 'Ned Schmidtke', 'Lisa Joyner', 'Gina St. John', 'Michael Don Evans', 'Brian Larsen', 'Jeanne Sakata', 'Jeffrey Moon', 'Todd Louiso', 'Matt Gerald', 'Eddy Shalita', 'J. J. Perry']","가장 강한 정보요원만을 관리하고 있는 버지니아주 NSA 지하본부가 정체불명의 테러집단에 의해 전멸당하는 상황이 발생한다. 일찍이 볼 수 없었던 대담한 공격에 커다란 위협을 직감한 기븐스(사뮤엘 잭슨)은 테러집단의 배후를 캐내기 위해서는 기존 요원보다 훨씬 강하고 독자적인 임무수행이 가능한 새로운 트리플X가 필요하다는 사실을 절감하고 누군가를 찾아나서는데... 새로운 트리플X 코드를 부여받은 후보자는 상관의 잔인한 명령에 불복종한 혐의로 정예 네이비씰에서 9년째 감금상태에 처해있는 다리우스 스톤(아이스 큐브). 일방적인 명령은 거부, 자신만의 방식으로 임무를 해치우던 다리우스는 테러공격은 미끼였을 뿐, 항공모함과 스텔스탱크 등 신무기를 총동원한 사상 최초의 국가전복 음모가 착착 진행되고 있다는 사실을 알게 되는데...",https://images.justwatch.com/poster/183789521/s276/teuripeul-egseu-2-negseuteu-rebel.webp,"[('Naver Store', ['₩5,000', 'HD']), ('wavve', ['₩5,500', 'HD'])]"
톰과 제리: 화성에 가다,Tom and Jerry Blast Off to Mars!,(2005),,,['73%'],['애니메이션'],['1시간 10분'],['Bill Kopp'],"['Jeff Bennett', 'Corey Burton', 'Kathryn Fiore', 'Brad Garrett', 'Jess Harnell', 'Tom Kenny', 'Bill Kopp', 'Rob Paulsen', 'Frank Welker', 'Billy West']","세기의 앙숙인 톰과 제리. 여느 날처럼 쫓고 쫓기는 사냥 놀이를 하던 톰과 제리는 우연히 화성 로켓 발사를 앞둔 국제 우주 센터에 들어가게 된다. 사냥 놀이에 몰두한 톰과 제리는 로켓이 발사되는 것도 모른 채 로켓에 탑승, 우주 비행사들과 함께 화성으로 향한다. 화성에 도착한 우주 비행사들은 제대로 둘러보지도 않은 채 화성에 생명체가 없다는 성급한 판단을 내린 후 지구로 귀환하고, 사냥 놀이에 빠져있던 톰과 제리는 지구로 귀환하는 로켓을 놓쳐 결국 화성에 남게 된다. 제리를 본 화성인들은 고서에 나와있는 위대한 예언자 글룹과 닮았다며 궁전으로 데려가 극빈 대접을 하고, 뒤이어 궁전에 도착한 톰은 몸집이 제리와 비슷한 화성인들에 의해 거인으로 오해를 받으며 뜻하지 않게 화성 도시를 파괴하게 된다. 결국 화성인들에게 사로잡힌 톰은 처형당할 위기에 처하는데 그 순간 한 화성인이 달려와 제리는 위대한 글룹이 아니며 톰과 제리 모두 지구에서 보낸 첩자라는 의견을 피력한다. 첩자로 몰린 톰과 제리는 화성인 핍의 도움으로 겨우 달아나지만, 화가 난 화성나라 국왕은 지구를 공격하기로 결정한다.",https://images.justwatch.com/poster/247643935/s276/tom-and-jerry-blast-off-to-mars.webp,"[('wavve', ['₩4,950', 'HD'])]"
캔디,Candy,(2006),,"[('wavve', ['₩1,200', 'HD'])]","['78%', '7.2 (44k)']","['로맨스 , 드라마']",['1시간 56분'],['Neil Armfield'],"['Abbie Cornish', 'Heath Ledger', 'Geoffrey Rush', 'Tom Budge', 'Roberto Meza-Mont', 'Tony Martin', 'Noni Hazlehurst', 'Tara Morice', 'Adrienne Pickering', 'Nathaniel Dean', 'Paul Blackwell', 'Damon Herriman', 'John McNeill', 'Jason Chan', 'Tim McKenzie']",우리는 완벽한 사랑에 빠졌다!,https://images.justwatch.com/poster/256164460/s276/kaendi.webp,
Keeping Up with the Steins,,(2006),,"[('Naver Store', ['₩1,600', 'HD'])]","['59%', '5.4 (3k)']",['코미디'],['1시간 30분'],['Scott Marshall'],"['Daryl Sabara', 'Jami Gertz', 'Jeremy Piven', 'Cheryl Hines', 'Carter Jenkins', 'Sandra Taylor', 'Larry Miller', 'Doris Roberts', 'Garry Marshall', 'Daryl Hannah', 'Britt Robertson', 'Miranda Cosgrove']","All hilarity breaks loose in this heartwarming coming-of-age comedy when three generations of Fiedlers collide in a crazy family reunion. As they prepare for the biggest Bar Mitzvah on the block, they begin to see that they're much more alike than they'd originally thought.",https://images.justwatch.com/poster/84121348/s276/keeping-up-with-the-steins.webp,"[('Naver Store', ['₩5,500', 'HD'])]"
벌들의 비밀 생활,The Secret Life of Bees,(2008),,,"['79%', '7.2 (25k)']",['드라마'],['1시간 54분'],['Gina Prince-Bythewood'],"['Dakota Fanning', 'Queen Latifah', 'Jennifer Hudson', 'Alicia Keys', 'Sophie Okonedo', 'Paul Bettany', 'Hilarie Burton', 'Tristan Mack Wilds', 'Nate Parker', 'Shondrella Avery', 'Renee Clark', 'Sharon Conley', 'Nicky Buggs', 'Jasmine Burke', 'Emma Sage Bowman', 'Addy Miller', 'Emily Alyn Lind', 'Taylor Kowalski', 'Bob Hungerford', 'Richard Todd Sullivan', 'Chris Moore', 'Bill Oberst Jr.', 'Cullen Moss', 'Walt Rider', 'Dan Beene', 'Joe Chrest', 'Robin Mullins', 'Tom Conder', 'Jay Pearson', 'Quentin Kerr']","인종 갈등과 폭력이 난무하던 1964년 미국 남부, 릴리 오웬스(다코타 패닝)는 거칠고 폭력적인 아버지 레이(폴 베타니) 밑에서 외롭게 살고 있는 열네 살 소녀. 엄마는 릴리가 네 살 때 죽었는데, 엄마의 죽음에 감춰진 진실로 인해 그녀는 끔찍한 죄책감에 사로잡혀 있다. 어느날, 릴리는 자신을 엄마처럼 돌봐주는 흑인 가정부 로잘린(제니퍼 허드슨)과 함께 시내에 나갔다가 극렬한 인종차별주의자들과 부딪힌다. 이 사건으로 로잘린이 위험해지자 릴리는 그녀와 함께 새로운 삶을 찾아 도망치기로 결심하고, 한때 엄마가 살았던 사우스캐롤라이나의 작은 마을로 향한다. 릴리는 그곳에서 양봉업을 하는 보트라이트 자매들의 집에 기거하게 되는데...",https://images.justwatch.com/poster/241068387/s276/the-secret-life-of-bees.webp,"[('Naver Store', ['₩5,500', 'HD'])]"
올 어바웃 스티브,All About Steve,(2009),"[('Disney Plus', ['정액제', 'HD'])]",,"['55%', '4.8 (41k)']","['코미디 , 로맨스']",['1시간 39분'],['Phil Traill'],"['Sandra Bullock', 'Thomas Haden Church', 'Bradley Cooper', 'Ken Jeong', 'DJ Qualls', 'Howard Hesseman', 'Keith David', 'Beth Grant', 'Katy Mixon', 'M.C. Gainey', 'Holmes Osborne', 'Delaney Hamilton', 'Jason Jones', 'Carlos Gómez', 'George Sharperson', 'Luenell', 'Kerri Kenney-Silver', 'Jackie Johnson', 'Lucy Davis', 'Hari Kondabolu', 'Sara Sanderson', 'Himself', 'Receptionist']","신문사의 낱말 맞추기 출제를 담당하는 메리 호르위츠(샌드라 블럭)는 낙천적인 성격의 노처녀. 소개팅에서 만난 케이블 TV의 미남 촬영 기자 스티브(브래들리 쿠퍼)가 진정한 사랑이자 소울메이트라고 확신한 메리는 그에 대한 내용으로만 낱말 맞추기를 출제했다가 해고 통지를 받는다. 일자리를 잃은 그녀는 스티브가 사건을 찾아서 출동하는 곳은 전국 어디든 따라가기로 결심하고 행동에 옮긴다. 그녀의 스토킹은 스티브의 동료인 하트맨(토마스 헤이든 처치)의 도움으로 탄력을 받고, 이에 따라 스티브는 점점 혼란스러워진다. 그러던 어느 날, 메리 일행은 청각장애 어린이들이 폐광에 갇혔다는 속보를 듣고 현장으로 향한다. 모든 아이들이 무사히 구출된 직후, 땅이 꺼지면서 메리가 폐광에 갇히는데…",https://images.justwatch.com/poster/176266373/s276/all-about-steve.webp,"[('Naver Store', ['₩5,500', 'HD'])]"
썸머 솔스티스,Solstice,(2008),"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]","[('wavve', ['₩1,200', 'HD'])]","['60%', '5.3 (6k)']","['공포 , 코미디 , 판타지 , 로맨스']",['1시간 31분'],['Daniel Myrick'],"['Elisabeth Harnois', 'Shawn Ashmore', 'Amanda Seyfried', 'Hilarie Burton', 'Tyler Hoechlin', ""Matt O'Leary"", 'Lisa Arnold', 'R. Lee Ermey', 'Lyle Brocato', 'David Dahlgren']","쌍둥이 동생 소피의 갑작스런 자살에 혼란스런 매건. 매건은 동생을 잃은 슬픔을 달래기 위해 친구들과 함께 매년 하지(夏至)때마다 묵었던 호수 별장으로 여행을 떠난다. 하지(夏至) 때 동생 소피와 함께 보낸 시간들이 계속 떠오르는 매건은 소피의 물건들을 하나하나씩 정리하고, 소피의 연인이자 매건의 친구인 크리스찬은 슬픔에 잠긴 매건을 사랑으로 감싸 안는다. 죽은자와 산자의 경계가 무너지는 하지(夏至)가 다가오면서 알 수 없는 기이한 일들이 일어나고, 매건은 동생 소피의 영혼이 자신의 곁에 맴돌고 있음을 느낀다. 자신에게 무언가를 말하려 한다는 것을 직감한 매건은 동생의 영혼을 깨우기 위해 죽은자의 영혼을 부르는 하지의식을 치르는데… 하지만, 하지의식 후… 매건은 정체를 알 수 없는 저주의 기운이 더욱 강해짐을 느끼게 되고, 소피가 아닌 또 다른 영혼의 저주에 휩싸이게 되는데…",https://images.justwatch.com/poster/57389168/s276/solstice.webp,"[('Naver Store', ['₩1,200', 'HD'])]"
워터 릴리스,Naissance des pieuvres,(2007),"[('wavve', ['정액제', 'HD']), ('Watcha', ['정액제', 'HD'])]","[('wavve', ['₩1,200', 'HD'])]","['72%', '6.7 (11k)']","['드라마 , Made in Europe , 로맨스']",['1시간 25분'],['Céline Sciamma'],"['Pauline Acquart', 'Adèle Haenel', 'Louise Blachère', 'Warren Jacquin', 'Christel Baras', 'Marie Gili-Pierre', 'Alice de Lencquesaing', 'Claire Pierrat', 'Barbara Renard', 'Esther Sironneau', 'Jérémie Steib', 'Yvonne Villemaire', 'Christophe Vandevelde', 'Céline Sciamma']","싱크로나이즈드 선수 ‘플로리안’을 본 순간 ‘마리’는 덜컥 사랑에 빠져버린다. 하지만 ‘플로리안’은 모든 남성들의 선망을 받고, 남자들과 자유로운 관계를 맺는 것 처럼 보인다. ‘플로리안’의 모든 것이 알고 싶고, 갖고 싶은 ‘마리’. 한편, ‘마리’의 절친 ‘안나’는 수영부 남학생 ‘프랑수아’와 첫키스를 하기 위해 노력한다. 처음 느끼는 사랑의 감정! 사랑에 빠지고, 사랑에 눈뜬 소녀들의 올 여름, 가장 거침없고 감각적인 드라마가 찾아온다.",https://images.justwatch.com/poster/195438295/s276/weoteo-rilriseu.webp,"[('Naver Store', ['₩2,500', 'HD'])]"
