0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
53,1977,2104,3324,860,2212,7361,4946,108,2180,16556,9921,12022,6687,1887,6704,7988,2586,3401,8214,18236
54,720,13865,2330,6200,4305,14309,796,421,17595,1222,1662,4199,2405,2099,18280,636,191,1299,5544,718
55,2214,2748,15152,6685,7967,3090,8423,9633,298,2374,1883,8214,569,14628,10086,9885,1052,7997,6348,7207
56,155,16379,17006,2945,19020,3043,14131,202,12083,30,475,14291,7082,11003,12390,2626,1726,7763,14671,2560
57,433,2074,3116,5144,313,15248,11513,1117,1866,99,2826,1718,2803,4006,6384,937,3860,408,2195,5154
58,127,17113,15152,5638,2748,6685,3090,7967,569,9633,8352,298,1883,5237,13022,11751,5113,5111,3404,14229
59,10150,15349,4972,2803,15057,5736,2611,11458,10638,141,3113,11055,10820,11486,10673,14675,15922,7204,2352,11122
60,3171,1399,1195,11900,1371,8673,4715,9519,599,5078,9569,359,2507,5171,9714,3280,16923,1296,6603,7576
61,4854,3355,11392,9215,2158,8066,9830,8784,2114,8979,17799,8710,7072,10767,16063,11110,9761,6262,8279,3359
62,1837,9959,1128,11022,7242,80,16312,10976,7874,8483,927,4981,893,413,3739,8929,8870,7221,6932,500
63,32,3402,1174,1038,707,4625,1749,2570,47,7777,7206,11222,13070,7444,2427,2519,7084,15573,2754,1091
64,431,103,896,15286,17212,15265,871,10593,166,1927,11746,4835,2670,99,290,7773,1768,5523,424,387
65,3323,9781,16,120,10008,6030,11168,11339,2009,6576,6478,3578,2215,8438,412,5397,5395,7771,3331,13583
66,2670,1927,1754,218,8882,5523,4090,13285,485,1862,15890,14678,1758,5330,9159,434,13276,2681,5305,1830
67,447,9299,7181,8311,12969,6692,10683,13342,1539,878,1167,8706,1180,9711,5201,11108,479,5953,16402,11113
68,433,2074,3116,8649,57,313,1183,15248,11513,99,10004,6576,6075,1718,1117,2014,2803,3835,7219,937
69,1970,7776,11102,12733,5460,8653,12661,1604,8252,11618,9022,18063,17792,9694,2025,10992,11644,5608,6390,3564
70,5135,5773,9456,8779,12375,5270,84,1750,8759,1447,845,12043,739,7350,3757,7834,1783,641,15225,3583
71,3850,9058,10021,6184,9985,2981,477,1296,576,1403,2091,1153,1197,8689,1947,12335,15004,312,11228,1371
72,4509,6393,13443,14944,7816,6983,12789,6892,4433,3475,2962,17802,1867,4855,7766,7617,15089,10006,3563,1802
73,6773,1999,2200,964,3726,6673,810,3963,6818,5251,8909,5446,14873,2412,10800,2267,1697,13215,272,10108
74,7360,15304,10320,5286,15237,17645,7409,2511,13932,6027,14945,515,2331,3336,6244,2491,10673,229,14244,13265
75,1698,2079,16826,14669,6131,9084,5282,5161,8123,9688,6736,13429,916,11863,4604,2741,12091,2613,1825,14864
76,4770,1271,5385,214,5720,9015,1233,389,3097,1699,1075,2366,36,4305,13747,15391,2409,6746,2743,9948
77,367,386,190,3603,7807,611,11443,2697,11528,6587,3585,7468,10492,1968,8327,10458,7832,12562,4997,9127
78,10124,16879,607,2203,2247,4970,1000,3957,704,17652,5577,14641,7683,2151,5043,7203,9122,8471,2580,9160
79,2106,12798,5639,2802,605,7839,6856,5606,2431,919,14772,13512,366,3629,11779,5585,4831,14229,5528,1657
80,7221,8784,5234,4019,15662,19072,11638,62,1800,8689,5494,18996,10915,1904,8721,11079,1371,7874,17267,6952
81,37,11200,17364,1770,6594,6541,3708,15558,6292,13564,3461,4668,17394,702,11856,7291,4227,1282,14973,3994
82,9748,809,7313,6472,10601,5930,11864,345,383,4312,11213,13258,2028,11083,13033,752,9820,7551,14494,9749
83,5426,6471,1675,1486,3222,6195,4798,2726,11605,9729,236,15297,5370,86,12139,18348,1273,10622,7345,2491
84,8779,1447,1750,16268,3757,12043,9225,641,13476,13336,7935,14149,70,9249,4254,13568,4858,8701,3535,5871
