제목,가중치평점
로맨싱 스톤,6.85392403568379
역마차,7.735220225658173
차이나타운,8.170034956453678
킬링,7.904011236476763
누가 로저 래빗을 모함했나,7.662045975933207
아리조나 유괴 사건,7.257379644400793
007 골드핑거,7.660005437004886
신부의 아버지,6.465276464248798
이창,8.47745976966718
티파니에서 아침을,7.560231702163326
프레데터,7.780154458944072
하이랜더,7.06239560658887
엑소시스트,7.9776192002147885
이블 데드,7.4671337192223195
몬티 파이튼의 성배,8.181986662753642
뜨거운 것이 좋아,8.163696197241956
1984,7.030972757300118
사랑한다면 이들처럼,6.850847021762202
파 앤드 어웨이,6.553246327429363
레인 맨,7.982582684038122
불가사리,7.06239560658887
드라큘라,7.370431333094354
언터처블,7.872536704276363
비버리 힐스 캅,7.267379951301166
영웅본색,7.24465428011187
웨인즈 월드,6.969876696642264
록키 4,6.878910503895068
제3의 사나이,8.046514859662182
앵무새 죽이기,8.26815861256605
바톤 핑크,7.638520754404204
컴 앤 씨,8.165219332642584
빽 투 더 퓨쳐 3,7.385422923558198
대탈주,8.16034038354163
길버트 그레이프,7.667796585640298
윌로우,7.247396498044222
태양의 제국,7.640008155507328
가스등,7.538700376096954
사탄의 인형 3,5.168860727509502
그랑블루,7.469648357090899
그들만의 리그,7.243310789154453
선셋 대로,8.352597274457912
닌자 거북이,6.758720551429125
플래툰,8.077458881004759
마이 걸,6.847012641036358
로마의 휴일,7.936941688196414
이웃집 토토로,8.17050316025909
메리 포핀스,7.753615451378157
공포의 묘지,6.57049525517387
유치원에 간 사나이,6.190210961108222
새,7.659570713494069
주정뱅이 천사,7.204067418860575
의적 로빈후드,6.877689533067941
글렌게리 글렌 로스,7.629152488408654
아비정전,7.2233754701211925
네트워크,8.042426823458017
닥터 지바고,7.887805341336476
매드 맥스,6.879118282181817
월 스트리트,7.359222295966723
미션,7.300968433062042
사랑과 영혼,7.076118536885823
이브의 모든 것,8.127392394483913
슈퍼맨 2,6.764121600774846
자유의 댄스,6.561531788391248
제너럴,8.000670453658337
소유와 무소유,7.588135440078611
코미디의 왕,7.722386250325828
스니커즈,7.016016854715144
수색자,7.808455680921208
컬러 퍼플,7.708848968405914
긴 이별,7.3866973116032915
코난 - 바바리안,6.871163342060603
쿨 러닝,6.954519718459888
뜨거운 오후,7.9655817182586
나는 결백하다,7.315689341660928
클레오파트라,6.86745746522596
록키 호러 픽쳐 쇼,7.357267200567867
비밀의 화원,7.167295710975195
레전드,6.366075928528919
워킹 걸,6.733810539360493
꿈의 구장,7.443737383753462
사탄의 인형 2,5.895490778922804
결투,7.500859313843783
고독,7.926173293902089
얼라이브,7.011596689173835
매드 맥스 2: 로드 워리어,7.560231702163326
컨버세이션,7.728736466208259
헤더스,7.145610112829086
다크 엔젤,6.030734085527241
리치몬드 연애 소동,7.147702031566429
서스페리아 1977,7.331439684427568
이블 데드 2,7.653506320518179
애니멀 하우스의 악동들,7.444675094024238
람보 2,6.484102477607883
벤허,8.061371843089352
스타 트렉,6.375122347587874
마이키 이야기,5.8971548962251035
007 위기일발,7.3523741319306
샤레이드,7.7930001465312815
이키루,8.173859119011649
리브 앤 다이,7.133171750940246
블러드 심플,7.526677200863632
아직은 사랑을 몰라요,6.959307116516743
순수의 시대,7.110836250539487
칼리토,7.8613193017976934
코만도,6.678095613266934
마이 페어 레이디,7.717484329293775
런던의 늑대 인간,7.436163570027968
청춘 낙서,7.329899003178749
이중 배상,8.236110462876029
베로니카의 이중생활,7.640020638426707
남아있는 나날,7.694067720039305
영광의 길,8.346948244989164
승리의 전쟁,6.807848071367578
스팔타커스,7.838515009573945
007 포 유어 아이스 온리,6.665950606761472
007 여왕 폐하 대작전,6.661789014254541
달콤한 인생,7.8832569092284945
크레이머 대 크레이머,7.745181897083277
신북두신권,6.803588898994624
사랑의 기적,7.742781104254807
콰이강의 다리,8.058345674114786
오명,7.91446545824662
페르소나,8.021400098112249
욕망이라는 이름의 전차,7.920009363730635
다이얼 M을 돌려라,8.144801235572565
지옥 인간,6.577178974389594
평원의 무법자,7.38144663005194
미드나이트 런,7.422802456778007
서바이벌 게임,7.630476740961763
매드 맥스 3: 비욘드 썬더돔,6.286478024139034
푸른 산호초,5.802300161184409
바람계곡의 나우시카,8.044546081490237
도라! 도라! 도라!,7.320567872511044
시체들의 새벽,7.831341760690905
7인의 신부,7.168926343811431
신체 강탈자의 침입,7.5541374761354625
리포 맨,6.794025282072717
키카,6.344765369582861
프린스 오브 다크니스,6.623578028509081
아웃 오브 아프리카,7.132012641036358
시스터 액트 2,5.710200205143793
스타 트렉 2: 칸의 분노,7.638520754404204
베스트 키드 3,5.335426414473911
위대한 침묵,7.286722849050479
못말리는 비행사,6.764453808175079
알라딘,7.978129142488376
스트리트 오브 파이어,6.5567088034545264
84번가의 연인,6.989308560223741
영광의 깃발,7.741500084200811
매니악,6.368050564145432
이유없는 반항,7.618252871240754
폭풍의 질주,6.088193310033052
베토벤,5.707685086067242
크로커다일 던디,6.57049525517387
스타 탄생,7.264810061090886
모모,5.992202256581726
안개,6.7481217740933594
헬스 키친,5.840252820727157
소공녀,6.59566792032318
베티 블루,7.1400421367878595
로라,7.823694107814462
007 썬더볼 작전,6.960350523785544
명탐정 필립,7.805298980263317
"요리사, 도둑, 그의 아내 그리고 그녀의 정부",7.424025282072716
고소공포증,6.562440451316345
사냥꾼의 밤,7.904011236476763
인어공주,7.572287445995704
이너스페이스,6.7370657587362075
베를린 천사의 시,7.880014045595953
레이디호크,6.9053267608756865
라이프포스,6.148607545818165
아버지의 이름으로,8.046829478134756
세 가지 색: 블루,7.818425854286224
화니와 알렉산더,7.960938635121671
야쿠자의 아내들 : 최후의 결투,5.840252820727157
자전거 도둑,8.23850632051818
에이리언 3,6.490962367407221
마녀와 루크,6.816882574174679
호커스 포커스,6.865254190843514
비디오드롬,7.14088055742292
루디 이야기,7.396265801295447
외계의 침입자,7.297721496441126
흐르는 강물처럼,7.109350188048477
스타 탄생,6.850847021762202
맨하탄 미스테리,7.173065462671926
리오 브라보,7.862873194966804
말타의 매,7.94532285622094
철목련,7.193836568780156
살아있는 시체들의 밤,7.834088090263268
미녀와 야수,5.840252820727157
검찰 측 증인,8.316073862974662
마녀 배달부 키키,7.839861396225611
천장지구,6.1522022565817265
덩크슛,6.754835426857748
신비의 체험,6.56546603730578
투씨,7.341141615876497
열차 안의 낯선 자들,7.935045197615854
노 웨이 아웃,6.98002407816449
한나와 그 자매들,7.787137140861763
트윈스,6.0915529372594195
길,7.867092481275518
내 책상 위의 천사,6.896455571173512
어느 날 밤에 생긴 일,8.012242827989404
록키 2,7.271377506288768
니키타,7.221094747066333
모던 타임즈,8.454534236251744
사브리나,7.493348655801646
크러쉬,5.807000490561245
추억,6.913370788255875
스타워즈: 에피소드 5 제국의 역습,8.688606584943134
워터프론트,8.040921642371952
패튼 대전차 군단,7.820009818280667
십계,7.78395790539308
위트니스,7.3343264345569334
신 야쿠자의 아내들,5.840252820727157
총알탄 사나이 2 - 공포의 낌새,6.862486825512466
네이키드,7.608805153241674
프리 윌리,5.99170144523258
5인의 탐정가,7.244025282072716
혹성탈출,7.951192154140727
"섹스, 거짓말, 그리고 비디오테이프",7.104579145314187
우리 아빠 야호,6.909039436919777
록키 3,6.779360275714562
허망한 경주,6.317890142545403
아프리카의 여왕,7.702012641036357
올리버,7.244025282072716
태극권,6.781616252531433
고령가 소년 살인 사건,7.612385483300663
노스페라투,7.815061971988749
애들이 줄었어요,6.385366086816396
독수리 요새,7.480695106489977
리버티 밸런스를 쏜 사나이,7.98261053614167
동경 이야기,8.047758246498525
빅턴,6.9107886785174735
프랑켄슈타인,7.692616592916557
킹 뉴욕,6.881051571356632
하이 눈,7.917723916980083
뉘른베르크의 재판,8.078987324139852
써스페리아 2,7.41951310981817
제인의 말로,7.941421250577344
야곱의 사다리,7.4379533764757815
다크 크리스탈,7.12001487180748
폴리스 스토리,7.409757061700233
007 나를 사랑한 스파이,7.053342697063968
의혹의 그림자,7.6812274436804335
간디,7.962109698609248
브로드캐스트 뉴스,7.03518216008814
톰 행크스의 볼케이노,5.894025282072716
프레데터 2,6.28843403322584
캐논볼,6.252846443151504
철갑무적 마리아,5.840252820727157
플레이어,7.391164119391945
패트리어트 게임,6.8621518864545425
그린 파파야 향기,6.880084273575719
첩혈속집,7.649250216979012
불의 전차,7.110836250539487
바베트의 만찬,7.459174403604722
그래서 난 도끼부인과 결혼했다,6.434025282072716
레즈,7.075423510881101
필라델피아 스토리,7.782300161184409
실버라도,7.079133584064635
감옥풍운,6.326835213818104
13일의 금요일 3,5.710200205143793
베스트 키드 2,6.088193310033052
엑소시스트 3,6.4223826847914305
007 리빙 데이라이트,6.664908278397027
007 다이아몬드는 영원히,6.571057250313416
황야의 7인,7.622510534196966
뱀파이어 해결사,5.711936410274652
사선에서,7.147194284300084
네이키드 런치,6.912471910998276
위대한 피츠카랄도,7.855703007646179
게임의 규칙,7.730031602590895
슬픔이여 안녕,6.370126410363579
마네킨,5.892970920085548
혹성의 위기,6.070314608083103
유니버셜 솔저,5.992900125365652
장미의 전쟁,6.730200205143793
데드 존,7.122300161184409
모리스,7.36186414922312
칼리가리 박사의 밀실,7.960938635121671
드라이빙 미스 데이지,7.342761571402832
007 죽느냐 사느냐,6.763783125310459
마법의 나라 오즈,6.585367042763621
홀로코스트,5.802824759349273
에쿠우스,6.705546480264421
허슬러,7.89591579858926
트론,6.768272820519906
로빈 훗,7.544135010181814
스미스씨 워싱톤에 가다,8.021400098112249
007 네버 세이 네버 어게인,6.179145091056647
007 문레이커,6.281610112829086
야쿠자의 아내들,5.840252820727157
전망 좋은 방,7.173065462671926
럼블 피쉬,7.053000304943477
지저스 크라이스트 슈퍼스타,7.192033709430288
헛소동,7.1832202256581725
007 두번 산다,6.860750104471377
하이랜더 2,4.3338981894471145
시에라 마드레의 황금,8.123879123249262
지상에서 영원으로,7.456347169038952
욕망을 파는 집,6.2343218315324505
세브린느,7.538282853976274
아마코드,7.7208915496284485
보물섬,6.51463738935533
신경쇠약 직전의 여자,7.432405030545443
아귀레: 신의 분노,7.76035612343913
로보캅 2,5.801829673669416
분노의 역류,6.657012641036358
파리의 미국인,7.0489169800807945
루팡 3세 칼리오스트로의 성,7.3866973116032915
코러스 라인,6.08930856022374
007 뷰 투 어 킬,6.281234809009272
브레이킹 어웨이,7.41388504934264
라 밤바,6.782250313414129
신사는 금발을 좋아해,7.060538750843811
하울링,6.517865169808341
적과의 동침,6.268293297981183
"머펫, 뉴욕을 점령하다",6.723375470121193
조이 럭 클럽,7.328050564145432
고독한 영혼,7.738212463118443
엑설런트 어드벤쳐 2,6.276117029648164
좋은 아들,6.347930494951363
39 계단,7.4786381255673895
괴물 디 오리지널,6.942531602590894
비버리 힐스 캅 2,6.477635688838208
삼총사,5.840252820727157
분노의 포도,8.002806572934501
데드 링거,7.178354401727263
우리 생애 최고의 해,7.960938635121671
화니 페이스,6.859424584330564
나의 밤은 당신의 낮보다 아름답다,5.912202256581726
말 없는 사나이,7.604025282072715
용지인자,6.1522022565817265
그의 연인 프라이데이,7.7626835213818115
황비홍: 천하무인,7.034591421950392
나바론 요새,7.372327140055935
스타 트렉 4: 귀환의 항로,7.232104782359403
화녀,5.840252820727157
할복,8.395574283016826
"헬로, 돌리!",6.820056182383812
요짐보,8.121991828784369
프라하의 봄,7.150282340587401
나일의 대모험,6.082086401429459
이상한 나라의 앨리스,7.355115189085673
장고,7.018700376096954
붉은 돼지,7.61546603730578
크라잉 게임,7.197561601454537
분홍신,7.855703007646179
오페라의 밤,7.664600322368818
데스 위시,6.886853933729479
반드리카 초특급,7.654833542276085
헨리 5세,7.298818523724504
성스러운 피,7.306708803454526
하워즈 엔드,7.216500331850254
환타지아,7.622510534196966
슬픔은 그대 가슴에,7.387421646468875
천공의 성 라퓨타,7.946672909153757
배드 캅,6.988022472953524
지구 최후의 날,7.6103736299145615
거울,7.907681091125715
13일의 금요일 2,6.084942192505921
스플래쉬,6.276423221575751
그리고 삶은 계속된다,6.984556809212069
지상 최대의 작전,7.664845022119113
좀비오,7.116323250506287
러브 스토리,5.840252820727157
못말리는 람보,6.566604519592403
롤러볼,6.491464688675308
스펠바운드,7.367220225658173
흑사회,5.840252820727157
요람을 흔드는 손,6.532466917397969
키드,8.220653316797652
헬레이저 3,5.541242766148746
바론의 대모험,7.102875201480511
수영장,6.712385483300663
카프리콘 프로젝트,6.730440451316346
포트리스,5.840252820727157
1492 콜럼버스,6.420030644936625
다운 바이 로,7.562240949683493
서스피션,7.244025282072716
인페르노,6.4733754701211925
공포의 대저택,7.562454887360867
성공의 달콤한 향기,7.745912096556136
화니 걸,7.150440451316346
리썰 웨폰 3,6.67928320049945
희생,7.712033709430288
작은 아씨들,6.769182843900785
슬립워커스,5.386440451316345
스타 트렉 6: 미지의 세계,7.1293637828949175
Don't Fool Me,5.840252820727157
네 무덤에 침을 뱉어라,5.718097138158343
전함 포템킨,7.85357646242218
정무문,7.117531602590895
정글북,7.560005745925617
헬레이저 2,6.447220225658173
내츄럴,7.367220225658173
길다,7.398886036654531
전쟁과 평화,6.504693175608356
알제리 전투,7.949350188048477
저주받은 카메라,7.498946250889422
지상의 밤,7.5800163110146555
나이아가라,6.768050564145432
암흑가의 세 사람,7.691464688675308
5시부터 7시까지의 클레오,7.5567088034545264
에덴의 동쪽,7.724702367721461
죠스 2,5.802038117505171
숨겨진 요새의 세 악인,7.879536860558747
내 사랑 컬리 수,5.890440451316346
쉘부르의 우산,7.529690044238228
맨츄리안 캔디데이트,7.7930001465312815
제17 포로수용소,7.851051918670838
서부 전선 이상 없다,7.956523988617597
라스트 드래곤,6.676895330679402
강시선생: 일미도인,5.840252820727157
셰인,7.436302587974618
미치광이 피에로,7.398886036654531
카비리아의 밤,7.919220225658172
디아볼릭,7.967073695336891
타임 머신,7.436302587974618
이프,7.254111528996616
내가 뭘 잘못 했길래,6.781616252531433
머펫 무비,7.414763454813385
007 황금총을 가진 사나이,6.667247726503892
펌핑 아이언,7.160038895496486
니노치카,7.5567088034545264
위대한 유산,7.509667084552171
인간 로켓티어,6.455271377676417
피노키오,7.3560634597387935
아르고 황금 대탐험,7.105367042763621
하비,7.757948470394976
옥수수 밭의 아이들,5.617796505239048
그리스 2,4.551605560076543
영혼은 그대 곁에,6.332151857057838
빅 히트,7.615896940789952
인간의 조건,7.596455571173512
연인,6.723375470121193
파리 대왕,6.334147390673784
패신저 57,5.895220225658173
육체의 약속,5.840252820727157
사랑의 행로,6.743000417885505
피터 팬,7.257379644400793
킹콩,7.804197805615217
초대받지 않은 손님,7.6295872018023605
무방비 도시,7.7883107338934
최후의 카운트다운,6.567731203188794
13일의 금요일 7: 새로운 살인,5.355410545715606
록키 5,5.315889788844916
포세이돈 어드벤쳐,6.992787474104439
상하이에서 온 여인,7.380031602590894
101마리의 달마시안 개,7.264612189593385
사랑에 관한 짧은 필름,7.822440451316345
왕과 나,7.184862458031332
더블 반담,5.622349099602525
타이탄족의 멸망,6.809808750700184
로젠크란츠와 길덴스턴은 죽었다,7.150440451316346
마이키 이야기 2,4.793081862916503
카이로의 붉은 장미,7.562240949683493
죽음의 추적자,6.578273752991693
외계인 삐에로,6.163102853407914
곰돌이 푸의 모험,7.414763454813385
토이즈,5.1846003223688175
거미 여인의 키스,6.992684804363613
위대한 환상,7.868231058536119
슈가랜드 특급,6.608050564145432
최후의 카운트다운,6.668643663064902
어울리지 않는 사람들,6.96352222969168
파이어 폭스,5.978700376096954
자이언트,5.840252820727157
밀회,7.794309792450205
허공에의 질주,7.22952690962677
아리스토캣,7.050598149832437
해리의 소동,6.977097836168503
터너와 후치,6.180014045595953
첩혈쌍웅,7.64629433888056
실크우드,6.96352222969168
머나먼 여정,6.903354401727262
올란도,6.91373743594256
아더왕의 검,7.144500115131721
폭주기관차,7.030031602590895
맹룡과강,7.150282340587401
람보 3,5.801229093762661
줄루,7.51856125080265
우주 전쟁,6.967395033760753
엑소시스트 2,4.1022596771447635
공포의 보수,7.954209859401751
그리고 아무도 없었다,7.131167293494923
차이나 신드롬,7.210939735845716
냉혈한,7.615896940789952
마이티 덕,6.554641959446397
아파치 요새,7.183857680138505
비브르 사 비,7.745912096556136
괴인 드라큐라,7.091464688675307
스타 트렉 3: 스팍을 찾아서,6.658061113206203
토마토 공격대,4.968294781347566
정고전가,6.226835213818104
엘리게이터,5.957400752193908
파괴 공작원,7.005750402961022
프랑켄슈타인의 신부,7.6432202256581725
신데렐라,7.262808989063113
로빈 훗의 모험,7.744547382696389
슈퍼맨 4 - 최강의 적,3.871220225658173
살아있는 시체들의 밤 3: 시체들의 날,7.028014446898695
가을 소나타,7.930314608083102
브라질에서 온 소년,6.850355202674471
영혼의 카니발,6.913370788255875
얼굴 없는 눈,7.481206214203195
시라노,7.254111528996616
경멸,7.392970920085547
웨인즈 월드 2,6.182869181939388
말괄량이 삐삐,5.870126410363579
뉴욕 세 남자와 아기,6.081109296052884
작은 거인,7.414763454813385
젊은이의 양지,7.486440451316344
7년만의 외출,6.977097836168503
밀드레드 피어스,7.691464688675308
25시,6.1522022565817265
스탈린그라드: 최후의 전투,7.320567872511044
미드웨이,6.6255005128594835
재즈 싱어,6.297000867916048
그랜드 호텔,7.116409603768576
비스트마스터,6.144654280111871
공포의 휴가길,6.2502976022407735
아가씨와 건달들,6.928050564145432
데몬스,6.567731203188794
관계의 종말,7.034591421950392
동성서취,6.260168547151437
늪지의 괴물,5.503588898994625
살인자들,7.4733754701211925
밤비,7.258588732502898
덤보,7.158481002159608
스트라이킹 디스턴스,5.8946891396201915
레프리콘,4.938700376096954
애수의 여로,6.832819207537148
비욘드,6.646440451316344
석양의 갱들,7.409757061700233
타란의 대모험,6.341079244287069
서부 개척사,6.880913534039506
쿨 월드,5.044654280111871
13일의 금요일 4,5.9879436091114835
언제나 마음은 태양,7.328050564145432
레이디와 트램프,7.256097829194801
슬리버,5.187088567144371
헨리의 이야기,6.601743179511675
쿼바디스,6.897833960161591
데미지,6.617191013471839
굿바이 칠드런,7.760028091191906
위대한 개츠비,6.320036117246737
떠오르는 태양,6.261687735060596
리틀 빅 히어로,6.3985004339580245
뉴스보이,6.723375470121193
그리프터스,6.758700376096955
동물 농장,6.928050564145432
추억은 방울방울,7.3866973116032915
섀도우,6.906192741650332
투명 인간,7.498946250889422
심령의 공포,6.519000593837296
작은 신의 아이들,6.91373743594256
크레이지 대소동,6.676161654287375
사보타주,6.8480505641454315
초원의 빛,7.4733754701211925
검은 수선화,7.509667084552171
글로리아,6.781616252531433
겟어웨이,7.216500331850254
블랙 홀,5.977178974389593
스나이퍼,6.061518936404023
히든,6.7891368764958475
사랑의 파도,6.7107211926257815
고래사냥,5.840252820727157
리오 그란데,6.8347900675215065
나의 계곡은 푸르렀다,7.424481899366986
매니악 캅: 엽살경찰,5.966369014889928
그린 카드,6.146704121589209
마티,7.424481899366986
루키,6.06536704276362
잠자는 숲속의 공주,7.16300007675448
나의 아름다운 세탁소,6.676895330679402
어둠의 부활,6.070126410363578
맬리스,6.320036117246737
심야의 공포,6.3944404513163455
터커,6.715696142735158
푸른 산호초 2,5.311348316648202
불타는 복수,5.884067418860575
백만장자와 결혼하는 법,6.730440451316346
햄릿,6.567731203188794
포스트맨은 벨을 두 번 울린다,7.211348316648202
13일의 금요일 8: 맨하탄의 살인,4.7240252820727155
빅 컨츄리,7.50766720394803
스타 트렉 5: 최후의 결전,5.521951794885623
클린트 이스트우드의 대도적,6.834321831532451
만춘,7.808050564145432
Sal-eolilasda,5.840252820727157
홍등,7.841743179511674
특명 어벤저,5.728050564145432
백경,7.046130925343853
강호정 2 - 영웅호한,5.840252820727157
필로우 토크,7.0880505641454326
특별한 날,7.568294781347566
폴리스 스토리 3: 초급경찰,6.723375470121193
지난해 마리앙바드에서,7.486440451316344
소림36방,7.308474278047823
날개,7.08506320518179
로보캅 3,4.231339835526578
오멘 2,6.24745746522596
나쁜 버릇,6.2961011282908625
황금광 시대,8.114964065611789
래그타임,6.850847021762202
뮤어부인과 유령,7.525500512859484
구명 보트,7.372935847835762
이반의 어린 시절,7.862131875866017
백야,6.387364662082603
로슈포르의 숙녀들,7.1277700986852786
비엔나 호텔의 야간 배달부,6.48506320518179
당신보다 그것이 좋아,6.5741771342887425
프리찌스 오너,6.572630047515134
에드가 알란 포우의 검은 고양이,5.996101128290863
신사협정,6.992684804363613
모나리자,6.992684804363613
이방인,7.184862458031332
화이트 히트,7.841743179511674
사망유희,6.054826577517765
사랑아 나는 통곡한다,7.703211120153085
레드 소냐,5.167295710975195
안전불감증,7.707000490561244
파워 오브 원,6.781616252531433
밤과 안개,5.840252820727157
슈퍼맨 3,5.04668071226262
남태평양,6.480084273575718
천국보다 낯선,7.334025282072716
에어포트,6.4618641492231195
생쥐 구조대,6.834784788967825
끝없는 사랑,5.2134176069090525
폴리스 스토리 2: 구룡의 눈,6.8709550583140295
아이거 빙벽,6.298227785586757
철십자 훈장,7.278700376096954
킹 솔로몬,5.350647722524037
늑대 개,5.840252820727157
블랙 이글,5.840252820727157
안나 카레니나,6.126835213818104
발몽,6.72711831075933
죠스 3,3.886108940932796
미이라,6.926241768376158
13일의 금요일 5: 새로운 시작,4.901488080070942
우먼 인 레드,5.964500626828257
옥중룡,5.840252820727157
이탈자,6.162131875866017
데이트 소동,5.974440451316346
미스테리 트레인,7.372935847835762
소나티네,7.2233754701211925
디바,6.86006320518179
라 붐,6.413417606909052
바다가 들린다,6.519000593837296
나는 고백한다,7.056708803454526
블루 썬더,6.3067088034545264
피의 발렌타인,6.2233754701211925
잃어버린 지평선,7.23506320518179
인도차이나,6.712385483300663
나쁜 피,6.769182843900785
Lambert the Sheepish Lion,5.840252820727157
황색 리본을 한 여자,7.008050564145432
옥스보우 인서던트,7.667731203188794
태양은 가득히,7.387421646468875
슬픔의 벨라돈나,6.7067790314342925
프로젝트 A,7.0880505641454326
글렌 밀러 스토리,6.813417606909052
영웅본색 2,6.850847021762202
언포기븐,6.387364662082603
바그다드 카페,7.033000663700507
13일의 금요일 6: 제이슨 살아있다,5.986108940932795
제트,7.885367042763621
그날이 오면,6.86006320518179
오델로,7.0134176069090515
리벤지,6.134591421950393
