제목,원제,개봉일,스트리밍,대여,구매,평점,장르,재생 시간,출연진,시놉시스,이미지,감독
힙합 에볼루션,Hip Hop Evolution,2016,"{'Netflix': ['4개', 'HD']}",,,"['86%', '8.4 (5k)']","['다큐멘터리', '음악']",49분,"['Afrika Bambaataa', 'Grandmaster Flash', 'Ice Cube', 'Ice-T', 'Shad']","지금부터 힙합의 산 역사를 만난다! 태동기부터 현재까지, 당대의 MC와 디제이, 업계 거물들이 전하는 힙합의 혁신들. 흥겨운 비트와 인터뷰로 가득한 다큐멘터리 시리즈.",https://images.justwatch.com/poster/153915258/s276/hip-hop-evolution.webp,
공항 가는 길,,2016,"{'wavve': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['89%', '7.5']","['드라마', '코미디', '로맨스']",1시간 1분,"['Kim Ha-neul', 'Lee Sang-yoon', 'Shin Sung-rok', 'Choi Yeo-jin', 'Jang Hee-jin', 'Choi Song-hyun', 'Lee Young-lan', 'Son Jong-hak', 'Choi Seoyun', 'Jeong Yeon-joo', 'Oh Ji-hye', 'Kim Seong-hoon', 'Kim Hwan-hee', 'Ye Soo-jung']","삶에, 두 번째 사춘기가 온다. 삶의 중반, 인생의 반환점에 도달했지만 현실에 흔들리는 30대, 파도처럼 몰려오는 삶의 부침 속에서 우리에게 필요한 것은, 그저 작은 한 마디다. 순간의 기댐. 그 어떤 것들. 그리고 서슴없이 그것을 전하는 단 한 사람. 지금 이 사람이 꼭 필요하고, 이 사람이 주는 ‘위로’가 절실하다. 그래서, 노력한다. 보는 이들이 응원해주고 싶을 만큼. 세상에서 가장 따뜻한 위로, 가장 절절한 사랑이 온다!",https://images.justwatch.com/poster/192447532/s276/on-the-way-to-the-airport.webp,['Kim Cheol-kyu']
91 데이즈,91デイズ,2016,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}","['84%', '7.7 (3k)']","['드라마', '애니메이션', '액션', '범죄', '스릴러']",25분,"['Takashi Kondo', 'Takuya Eguchi', 'Daisuke Ono', 'Kazuhiro Yamaji', 'Kenji Hamada', 'Kenjiro Tsuda', 'Koutaro Nishiyama', 'Masuo Amada', 'Soma Saito', 'Takahiro Sakurai', 'Yuichi Nakamura', 'Hisako Toujou', 'Kaede Hondo', 'Chafurin', 'Satoshi Mikami', 'Kanami Satou']","금주법이 내려진 시대. 법은 땅에 떨어지고 도시는 마피아가 장악했다.암암리에 밀주가 오가는 도시, 로우리스. 마피아의 싸움에 휘말려 일가족을 살해당한 아빌리오. 그러던 어느 날 아빌리오 앞으로 도착한 한 통의 편지. 그 편지 속에는 일가족을 죽인 범인의 이름이 적혀 있었다. 복수의 칼날을 갈기 시작한 그는 돈 바네티의 아들, 네로에게 접근한다. 죽음이 죽음을 부르고 복수가 또 다른 복수를 부른다. 마피아 드라마가 오리지널 애니메이션으로 다시 태어났다.운명에 저항하는 남자들이 펼치는 '91일간의 복수극'이 지금 시작된다!",https://images.justwatch.com/poster/146382766/s276/91-deijeu.webp,
Guilt,,2016,,"{'Naver Store': ['1개', 'HD']}","{'Naver Store': ['1개', 'HD']}","['60%', '6.0 (2k)']","['드라마', '범죄']",42분,"['Daisy Head', 'Emily Tremaine', 'Billy Zane', 'Zachary Fall', 'Sam Cassidy', 'Cristian Solimeno', 'Naomi Ryan', 'Kevin Ryan', 'Simona Brown']","When Natalie’s sister Grace becomes the prime suspect in her roommate Molly’s murder and popular target for the press and in social media, Natalie leaves her life in Boston and heads to London to defend her. With the help of an ethically questionable ex-pat lawyer Stan Gutterie, Natalie starts to question how innocent her sister may really be as more ugly truths start to come out.",https://images.justwatch.com/poster/177837227/s276/guilt.webp,
당신은 선물,,2016,"{'wavve': ['1개', 'HD']}",,"{'Naver Store': ['1개', 'HD']}",['85%'],['드라마'],34분,"['Jin Ye-sol', 'Kim Chung', 'Cha Do Jin', 'Choi Myung-gil', 'Sa Mi-ja', 'Huh Yi-jae', 'Yang Byeong-yeol']",한날한시에 과부가 된 며느리와 시어머니가 의리와 정으로 맺어진 동지가 되어 역경을 극복하고 행복을 쟁취하는 신 고부 열전,https://images.justwatch.com/poster/194363812/s276/dangsineun-seonmul.webp,
아발로 왕국의 엘레나,Elena of Avalor,2016,"{'Disney Plus': ['3개', 'HD']}",,,"['74%', '6.5 (1k)']","['코미디', '드라마', '가족', '판타지', '애니메이션', '액션']",24분,"['Aimee Carrero', 'Jenna Ortega', 'Chris Parnell', 'Yvette Nicole Brown', 'Carlos Alazraqui', 'Emiliano Díez', 'Julia Vera', 'Christian Lanz', 'Jorge Diaz', 'Keith Ferguson', 'Joe Nunez', 'Lou Diamond Phillips', 'Justina Machado', 'Jaime Camil', 'Echo Kellum']",아발로 왕국의 엘레나 :,https://images.justwatch.com/poster/199305170/s276/abalro-wanggugyi-elrena.webp,
삼시세끼 고창편,,2016,,"{'Naver Store': ['1개', 'HD']}",,['100%'],['RealityTV'],1시간 29분,"['Cha Seung-won', 'Yoo Hae-jin', 'Son Ho-jun', 'Nam Joo-hyuk']","2016년 7월 tvN에서 방영을 시작한 리얼리티쇼. 농촌과 어촌이 맞닿아 있는 풍요로운 땅 고창은 여름에는 황토밭이 키워낸 복분자와 수박을 수확하고, 바다에서는 풍천장어와 바지락을 얻을 수 있는 곳이다. 청보리 밭이 황금 들녘으로 변하는 아름다운 계절, 먹는 만큼 일하는 자급자족 농부라이프가 시작된다. 벼농사로 차려낼 소중한 쌀밥 한 끼를 위해 네 남자는 그렇게 땀으로 운다. 이앙기를 몰고 빈 논을 손으로 한 땀씩 메우고, 이웃의 부족한 일손을 채우는 품앗이의 정. 서툴고 느리지만 마음만은 풍족한 농촌에서 소박하지만 소중한 삼시세끼를 경험한다.",https://images.justwatch.com/poster/18733114/s276/samsiseggi-gocangpyeon.webp,"['Na Young-seok ', ' Lee Jin-joo']"
LEGO Star Wars: The Freemaker Adventures,,2016,"{'Disney Plus': ['1개', 'HD']}",,,"['83%', '7.4 (1k)']","['애니메이션', '판타지', '코미디', '액션', '드라마', '가족', 'SF']",22분,"['Venessa Lengies', 'Nicolas Cantu', 'Matthew Wood', 'Eugene Byrd', 'Trevor Devall', 'Matt Sloan', 'Dana Snyder', 'John DiMaggio', 'Danny Jacobs', 'James Patrick Stuart', 'Greg Baldwin', 'Kevin Michael Richardson', 'Thomas Lennon', 'Grey DeLisle']","Set between The Empire Strikes Back and Return of the Jedi, The Freemaker Adventures centers on a family of three young siblings—young boy Rowan, his sister Kordi, and their brother Zander—known as the Freemakers, who salvage parts from destroyed or damaged ships which they use to build new ones, which they sell in order to make their living. They are accompanied by their salvaged battle droid Roger.",https://images.justwatch.com/poster/197769612/s276/lego-star-wars-the-freemaker-adventures.webp,
클래스,Class,2016,"{'wavve': ['1개', 'HD']}","{'Naver Store': ['1개', 'HD']}","{'Naver Store': ['1개', 'HD']}","['73%', '6.9 (4k)']","['SF', '드라마', '다큐멘터리', 'MadeinEurope']",44분,"['Greg Austin', 'Fady Elsayed', 'Vivian Oparah', 'Sophie C. Hopkins', 'Katherine Kelly', 'Jordan Renzo', 'Moses Adejimi', 'Steven Lathwell', 'Anna Shaffer', 'Samuel Rush', 'Pooja Shah', 'Nigel Betts', 'Aaron Neil', 'Pooky Quesnel', 'Paul Marc Davis', 'Shannon Murray', 'Natasha Gordon', 'Ellie James', 'Ben Peel', ""Con O'Neill""]",그림자족괴물들에게 말살당한 행성의 유일한 생존자 왕자와 그의 노예 여성은 우주시공간을 뛰어넘어 지구의 영국 런던의 한 고등학교로 선생님과 학생신분으로 위장 잠입한다. 우주의 약해진 결계를 뚫고 왕자를 찾아 지구에 출몰한 괴물들. 이에 대항하여 왕자는 평범한 영국의 고등학생들이 힘을 모아 함께 싸우며 지구를 지켜나간다는 이야기,https://images.justwatch.com/poster/190154733/s276/keulraeseu.webp,
레이디 다이너마이트,Lady Dynamite,2016,"{'Netflix': ['2개', '4K']}",,,"['80%', '7.4 (3k)']","['코미디', '드라마']",29분,"['Maria Bamford', 'Ana Gasteyer', 'Dean Cain', 'Jenny Slate', 'Mira Sorvino']",코미디언 마리아 뱀포드가 자신의 인생에서 영감을 얻은 시리즈에 출연하여 우여곡절 많은 인생을 살아온 자신에 관한 미칠 듯한 이야기를 풀어낸다.,https://images.justwatch.com/poster/28224533/s276/lady-dynamite.webp,
콩: 유인원의 왕,Kong: King of the Apes,2016,"{'Netflix': ['2개', 'HD']}",,,"['68%', '5.9']","['애니메이션', '액션', '코미디', '가족', 'SF']",21분,"['Kathleen Barr', 'Shannon Chan-Kent', 'Alessandro Juliani', 'Lee Tockar', 'Sam Vincent']",2050년도에 사악한 과학자가 로봇 공룡 군대를 출격시키려 한다. 이제 콩과 친구들은 이에 대항하여 위기를 극복해야 한다.,https://images.justwatch.com/poster/830846/s276/kong-king-of-the-apes.webp,
크레이지 헤드,Crazyhead,2016,"{'Netflix': ['1개', 'HD']}",,,"['75%', '7.3 (4k)']","['코미디', '공포', 'SF', 'MadeinEurope']",43분,"['Cara Theobold', 'Susan Wokoma', 'Arinzé Kene', 'Lewis Reeves', 'Riann Steele', 'Tony Curran', 'Luke Allen-Gale']",혼란스럽기만 한 20대 초반을 살고 있는 볼링장 직원 에이미와 반항아 친구 라켈이 자신의 내면과 씨름하며 악령에 맞서 통쾌한 한 판 승부를 벌인다.,https://images.justwatch.com/poster/141875721/s276/crazyhead.webp,
도망치는 여자,逃げる女,2016,"{'wavve': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}","{'Naver Store': ['1개', 'HD']}",,,['범죄'],42분,"['나카 리이사', '카쿠 켄토', '덴덴', 'Kenichi Endo', '출연']",누명으로 감옥에 들어가 8년 동안 복역을 하고 출소하지만 살인을 저지른 젊은 여성이 40세의 여성을 만나 함께 도피를 하게 되면서 벌어지는 이야기를담은 드라마,https://images.justwatch.com/poster/185460293/s276/domangcineun-yeoja.webp,['쿠로사키 히로시']
인생술집,,2016,,"{'Naver Store': ['1개', 'HD']}",,,,1시간 0분,['Shin Dong-yup'],"우리가 술을 마시는 이유! 기뻐서? 목이 말라서? 슬퍼서? 심심해서? 술 한잔 하는데 이유가 있나요? 왠지 그냥 한 잔 마시고 싶은 날! 매주 목요일 밤 10시 50분, 내 인생 가장 즐거운 술집이 오픈합니다. 재미있고 편안한 사장님과 종업원들. 그리고 ""스타""가 아니라 ""사람""으로서 찾아오는 손님들의 이야기! 가장 핫한 이들의 가장 인간적인 술자리, [인생술집]에서 한 잔 해~ 집에서 혼술하며 보시면 왠지 이들과 함께 마시고 있는 것 같은 착각이 듭니다.",https://images.justwatch.com/poster/246455562/s276/insaengsuljib.webp,['박경훈']
The K2,,2016,"{'Netflix': ['1개', 'HD'], 'Watcha': ['1개', 'HD']}","{'Naver Store': ['1개', 'HD']}",,"['82%', '7.8 (4k)']","['전쟁', '드라마', '로맨스', '스릴러']",1시간 5분,"['Ji Chang-wook', 'Song Yun-ah', 'Yoona', 'Cho Seong-ha', 'Lee Jung-Jin', 'Shin Dong-mi', 'Kim Gab-soo', 'Son Tae-young']","전쟁 용병 출신의 보디가드 K2와 그를 고용한 대선 후보의 아내, 그리고 세상과 떨어져 사는 소녀! 로열패밀리를 둘러싼 은밀하고 강렬한 보디가드 액션 드라마",https://images.justwatch.com/poster/179870941/s276/the-k2.webp,['Kwak Jung-hwan']
